createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
2020-10-22,0x42e32d3b141e6f6bb11ebb68723a885ab1c67f01,Fuck.Bitcoin,FKBTC,Wrapped Ether,WETH,0x2a46264f844034efd2da27b46fe825fdc2f186a8,Fuck.Bitcoin,FKBTC,17,0xce54334357487e1e27290c22aa1fcec2ee8d22a4,17,95.0,0.250511221,8.0,0.0274,1603358424,2020-10-22 9:20,1,15,1,0,580,1438,11,4,1438,burn,1603358424,2020-10-22 9:20,9.121637385,0.027364912,-0.997,0.39944444444444444h,fix
2020-10-22,0x9b600694f988886c9f5f5ed5bc23594deca6c8d3,gek.finance,GEK,Wrapped Ether,WETH,0x2a5f0e546b53962f5c5d45316c14f25f2b7a66d5,gek.finance,GEK,17,0xe54e9b14745804c7a5bf05c02bb29eb1ea4c29fb,17,2000.0,1e-08,40.0,1.42e-11,1603380372,2020-10-22 15:26,1,15,1,0,169,1178,8,7,1178,burn,1603380372,2020-10-22 15:26,40.17702836,1.42e-11,-1.0,0.32722222222222225h,fix
2020-10-22,0x6f412b9242553c1a576a6afe6bca6f9ad2a95c51,Wrapped Ether,WETH,ySTAKE,YSTAKE,0xf9e9e69a9a13450c098c6591e57372c7876e6cbc,ySTAKE,YSTAKE,17,0x668e1127694d0ec976404f4ba5711f99d029bbd3,17,32000.0,1.75e-14,85.0,5.8e-17,1603419437,2020-10-23 2:17,1,15,1,0,1404,44465,12,3,44465,burn,1603419437,2020-10-23 2:17,94.28214539,5.8e-17,-1.0,12.35138888888889h,fix
2020-10-22,0x8c09f2508d9e80280167118334adb71e57ff8ab9,TenSpeed.finance,TENS,Wrapped Ether,WETH,0x369f7b687d843c690e038e711ed7376b2262845e,TenSpeed.finance,TENS,17,0xc8f38d9f5e4fe64a8ba79bda6a10c6f7da5eebcd,17,5000.0,6e-15,90.0,1.67e-16,1603415715,2020-10-23 1:15,1,15,1,0,2048,42582,12,3,42582,burn,1603415715,2020-10-23 1:15,111.9022689,1.67e-16,-1.0,11.828333333333333h,fix
2020-10-22,0x72f82a2582b3339302775239964507f64ca0434c,reCYCLE,RCYCL,Wrapped Ether,WETH,0x5cc37d51f4d798464ff04f58f7fd0e7d848ef30f,reCYCLE,RCYCL,18,0xedbbf56f7ec51fecb25ede4c983711ebb42395cc,18,800.0,3.88e-15,30.0,2.59e-16,1603427953,2020-10-23 4:39,1,16,1,0,936,22181,13,3,22181,burn,1603427953,2020-10-23 4:39,39.99523372,2.59e-16,-1.0,6.161388888888889h,fix
2020-10-22,0x53801da0498b8940f00764f69893e732e01567a9,Universal Basic Income,UBI,Wrapped Ether,WETH,0x2afbdec52c027f582cf166a7db0f633fe422b1c7,Universal Basic Income,UBI,18,0x1f0e8c23f14adbc4a73325458222e33bd49139fd,18,43500.0,2.79e-14,55.0,3.6e-17,1603403747,2020-10-22 21:55,1,16,1,0,379,863,10,6,863,burn,1603403747,2020-10-22 21:55,55.56769143,3.6e-17,-1.0,0.23972222222222223h,fix
2020-10-22,0x3319a6482db1814d091e20afffc2450d94180570,HappyFarm.Finance,HPF,Wrapped Ether,WETH,0x8860fecc56ebafed6e5263c2a79cbe78a5ca82b5,HappyFarm.Finance,HPF,18,0xc8f38d9f5e4fe64a8ba79bda6a10c6f7da5eebcd,18,18000.0,1.1e-14,120.0,9.1e-17,1603415555,2020-10-23 1:12,1,16,1,0,3161,47562,13,3,47562,burn,1603415555,2020-10-23 1:12,133.6796257,9.1e-17,-1.0,13.211666666666666h,fix
2020-10-22,0x8817acb4040b031af7235f2cb28e4f8c24eefbbb,The Graph Network,GRT,Wrapped Ether,WETH,0x8f065a8634bd9a6da53df88f69de826b5d4d52a3,The Graph Network,GRT,18,0x460b04623a589534d3045ad971d50898531f964c,18,2102666.0,1.12e-13,166.0,9e-18,1603418584,2020-10-23 2:03,1,16,1,0,695,36189,13,3,36189,burn,1603418584,2020-10-23 2:03,166.4986329,9e-18,-1.0,10.0525h,fix
2020-10-22,0x744e655f2018fe3a45d774b4758cef1a7c45fb0b,Wrapped Ether,WETH,CertiK,CTK,0xe40840f985329ee49ccec1646bd42270fa164dd7,CertiK,CTK,18,0xd43380531b24fe48936e4c7550d5750fe572bfe6,18,1200000.0,7.16e-14,210.0,1.4e-17,1603447002,2020-10-23 9:56,1,16,1,0,2518,68257,13,3,68257,burn,1603447002,2020-10-23 9:56,221.6122342,1.4e-17,-1.0,18.960277777777776h,fix
2020-10-22,0x91ec164c666555a6a8cdd16f8b9c459f00d4e8c0,Mojituo,MOO,Wrapped Ether,WETH,0x43a103da342581a6b7162c1aa8f5e02fbc1fa1bc,Mojituo,MOO,19,0xe12a5179d9ca2cedd16b72e14f21e72b622ebb85,19,10000.0,400010.0,0.4,0.0565,1608191758,2020-12-17 7:55,2,17,0,1260,1883337,0,9,8,4834011,swap,1605510056,2020-11-16 7:00,1.344178723,0.056072389,-0.95828502,597.8636111111111h,TRUE
